"Date","Strain","sibling","allele","genotype","UV_dose","Suv_samples","Suv_ave","Suv_se","Rev_samples","Rev_ave","Rev_se"
"220826","KNT-Op51-32","Op51","B36","set-1 KO",120,3,488,17.925772879665,3,5.33333333333333,1.85592145427667
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,712,14,3,0.666666666666667,0.333333333333333
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,605.333333333333,40.3498588734968,3,18.3333333333333,4.371625682868
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,557.666666666667,12.9914501799367,3,24,3.78593889720018
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,465.666666666667,14.4376052184718,3,24.6666666666667,2.90593262902712
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,621.666666666667,22.8351580779386,3,3,1.52752523165195
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,566.666666666667,8.41295297608264,3,15,1.52752523165195
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,532.333333333333,14.051492605572,3,23.6666666666667,2.90593262902712
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,547.666666666667,25.8736244937667,3,18.3333333333333,1.45296631451356
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,626.333333333333,33.4182252338118,3,0.666666666666667,0.666666666666667
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,599.333333333333,53.3552038490884,3,20.3333333333333,2.84800124843918
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,519.666666666667,13.6910351852752,3,22.6666666666667,0.881917103688197
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,462.666666666667,29.1337909956425,3,21.3333333333333,1.76383420737639
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,494.333333333333,6.69161996662824,3,1.33333333333333,0.666666666666667
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,482.666666666667,14.1931125706958,3,14.3333333333333,1.76383420737639
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,415,12.5033328890074,3,21.6666666666667,1.20185042515466
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,396.666666666667,4.84194634877798,3,15,1.15470053837925
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,684,34.1760149812701,3,2.66666666666667,0.881917103688197
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,579.666666666667,59.7057600050261,3,16,1.73205080756888
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,488,54.4426303552648,3,11.6666666666667,2.90593262902712
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,517,11.060440015358,3,17.3333333333333,3.52766841475279
"221017","KNT-Op46-04","Op46","OGW1","wild-type",0,3,663.333333333333,14.5181878269217,3,0,0
"221017","KNT-Op46-04","Op46","OGW1","wild-type",60,3,616,34.4431899413125,3,5.66666666666667,1.85592145427667
"221017","KNT-Op46-04","Op46","OGW1","wild-type",90,3,659.666666666667,16.3333333333333,3,6.66666666666667,1.20185042515466
"221017","KNT-Op46-04","Op46","OGW1","wild-type",120,3,603.666666666667,32.9157172858871,3,10.6666666666667,0.333333333333333
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,626.666666666667,18.2787064944736,3,1.66666666666667,1.20185042515466
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,640,30.2654919008431,3,18.3333333333333,1.85592145427667
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,624.333333333333,17.5245859041266,3,27,3.21455025366432
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,532.333333333333,23.6948189367305,3,30,6.50640709864771
"221017","KNT-Op55-01","Op55","OGW1","wild-type",0,3,630.666666666667,33.3982700816142,3,0.666666666666667,0.666666666666667
"221017","KNT-Op55-01","Op55","OGW1","wild-type",60,3,596.333333333333,13.9084306966834,3,3.33333333333333,0.333333333333333
"221017","KNT-Op55-01","Op55","OGW1","wild-type",90,3,605.333333333333,6.98410894658566,3,6.66666666666667,1.20185042515466
"221017","KNT-Op55-01","Op55","OGW1","wild-type",120,3,543.666666666667,24.6328597157898,3,11.3333333333333,3.84418753155693
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,514,15.8745078663875,3,0.333333333333333,0.333333333333333
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,462.333333333333,19.2035876277788,3,11.6666666666667,1.45296631451356
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,460.333333333333,22.1835775092998,3,17,0.577350269189626
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,388,16.5025250593154,3,24.3333333333333,4.33333333333333
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",0,3,592.333333333333,8.68587614719692,3,0,0
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",60,3,627.333333333333,12.2519839663261,3,1,0.577350269189626
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",90,3,479.333333333333,39.1677304820066,3,2.33333333333333,0.333333333333333
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",120,3,492.666666666667,32.3333333333333,3,2.33333333333333,1.33333333333333
"221104","KNT-Op51-32","Op51","B36","set-1 KO",0,3,624.666666666667,7.83865067753656,3,0,0
"221104","KNT-Op51-32","Op51","B36","set-1 KO",60,3,576,6.11010092660779,3,0.666666666666667,0.333333333333333
"221104","KNT-Op51-32","Op51","B36","set-1 KO",90,3,519,9.86576572463249,3,2,0
"221104","KNT-Op51-32","Op51","B36","set-1 KO",120,3,452.333333333333,13.8604152575279,3,3.33333333333333,1.76383420737639
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,635.666666666667,42.7252202386886,3,0.333333333333333,0.333333333333333
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,509.333333333333,31.6877123047896,3,24.3333333333333,1.66666666666667
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,555.666666666667,34.3721463461979,3,28,3.78593889720018
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,494.333333333333,35.2719592751964,3,32.6666666666667,3.33333333333333
