"Date","Strain","sibling","allele","genotype","baseline_0J","AUC_bc"
"220722","KNT-Op47-01","Op47","B36","wild-type",0,72.2804836701807
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",0.910746812386157,1078.12740605015
"220722","KNT-Op51-17","Op51","B36","wild-type",0.365230094959825,71.6972042478352
"220722","KNT-Op51-32","Op51","B36","set-1 KO",0,880.320967992619
"220729","KNT-Op46-04","Op46","OGW1","wild-type",0.894054537326777,599.22446646502
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",1.75978882534096,3418.29201806586
"220729","KNT-Op55-01","Op55","OGW1","wild-type",0.396982929734021,1123.20145553307
"220805","KNT-Op47-01","Op47","B36","wild-type",1.04602510460251,29.4405047805458
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",0.386100386100386,969.567696747657
"220805","KNT-Op51-17","Op51","B36","wild-type",0,108.898339220148
"220805","KNT-Op51-32","Op51","B36","set-1 KO",1.02827763496144,1368.42354803926
"220812","KNT-Op46-04","Op46","OGW1","wild-type",0.395100750691426,385.561897555079
"220812","KNT-Op55-01","Op55","OGW1","wild-type",1.91497510532363,466.716034026016
"220826","KNT-Op47-01","Op47","B36","wild-type",0,48.2232395209723
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",0,195.95824855056
"220826","KNT-Op51-17","Op51","B36","wild-type",0,188.349269530986
"220826","KNT-Op51-32","Op51","B36","set-1 KO",0,656.151609707876
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",0.936329588014981,2483.76899323695
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",4.82573726541555,1943.39561986559
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",1.06439595529537,2445.20878008305
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",2.69723533378287,2417.09981992057
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",3.89863547758285,1400.22739239324
"221017","KNT-Op46-04","Op46","OGW1","wild-type",0,706.217374354536
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",2.65957446808511,2412.83191118031
"221017","KNT-Op55-01","Op55","OGW1","wild-type",1.05708245243129,663.508852738379
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",0.648508430609598,2388.21875503058
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",0,240.988843176836
"221104","KNT-Op51-32","Op51","B36","set-1 KO",0,243.505998890598
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",0.524383848977451,3188.09165134368
