"Date","Strain","sibling","allele","genotype","baseline_0J","AUC_bc"
"220722","KNT-Op51-17","Op51","B36","wild-type",0.365230094959825,71.6972042478352
"220722","KNT-Op51-32","Op51","B36","set-1 KO",0,880.320967992619
"220805","KNT-Op51-17","Op51","B36","wild-type",0,108.898339220148
"220805","KNT-Op51-32","Op51","B36","set-1 KO",1.02827763496144,1368.42354803926
"220826","KNT-Op51-17","Op51","B36","wild-type",0,188.349269530986
"220826","KNT-Op51-32","Op51","B36","set-1 KO",0,656.151609707876
"221104","KNT-Op51-32","Op51","B36","set-1 KO",0,243.505998890598
