"sibling","allele","mutant","wt_n","mut_n","wt_mean","mut_mean","delta_mean","p_value","significance"
"Op47","B36","hH3-K4R",3,4,49.9814093238996,621.1605486313,571.1791393074,0.0919919029378076,"n.s."
"Op51","B36","set-1 KO",3,4,122.98160433299,787.100531157589,664.118926824599,0.0644796185331825,"n.s."
"Op46","OGW1","hH3-K4R",3,4,563.667912791545,2690.02542564154,2126.35751285,0.00146513413061812,"**"
"Op55","OGW1","set-1 KO",3,5,751.142114099154,2267.40664771073,1516.26453361158,0.00519780243662717,"**"
