"Date","Strain","sibling","allele","genotype","baseline_0J","AUC_bc"
"220729","KNT-Op46-04","Op46","OGW1","wild-type",0.894054537326777,599.22446646502
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",1.75978882534096,3418.29201806586
"220812","KNT-Op46-04","Op46","OGW1","wild-type",0.395100750691426,385.561897555079
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",0.936329588014981,2483.76899323695
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",1.06439595529537,2445.20878008305
"221017","KNT-Op46-04","Op46","OGW1","wild-type",0,706.217374354536
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",2.65957446808511,2412.83191118031
