"Date","Strain","sibling","allele","genotype","baseline_0J","AUC_bc"
"220729","KNT-Op55-01","Op55","OGW1","wild-type",0.396982929734021,1123.20145553307
"220812","KNT-Op55-01","Op55","OGW1","wild-type",1.91497510532363,466.716034026016
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",4.82573726541555,1943.39561986559
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",2.69723533378287,2417.09981992057
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",3.89863547758285,1400.22739239324
"221017","KNT-Op55-01","Op55","OGW1","wild-type",1.05708245243129,663.508852738379
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",0.648508430609598,2388.21875503058
"221104","KNT-Op55-25","Op55","OGW1","set-1 KO",0.524383848977451,3188.09165134368
