"Date","Strain","sibling","allele","genotype","baseline_0J","AUC_bc"
"220722","KNT-Op47-01","Op47","B36","wild-type",0,72.2804836701807
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",0.910746812386157,1078.12740605015
"220805","KNT-Op47-01","Op47","B36","wild-type",1.04602510460251,29.4405047805458
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",0.386100386100386,969.567696747657
"220826","KNT-Op47-01","Op47","B36","wild-type",0,48.2232395209723
"220826","KNT-Op47-23","Op47","B36","hH3-K4R",0,195.95824855056
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",0,240.988843176836
