"sibling","allele","genotype","AUC_bc_mean","AUC_bc_se","n","significance","ymin","ymax"
"Op46","OGW1","wild-type",563.667912791545,94.2570688458303,3,"**",469.410843945715,657.924981637375
"Op46","OGW1","hH3-K4R",2690.02542564154,243.188092490752,4,"**",2446.83733315079,2933.21351813229
"Op47","B36","wild-type",49.9814093238996,12.3980417621498,3,"n.s.",37.5833675617498,62.3794510860494
"Op47","B36","hH3-K4R",621.1605486313,233.725938380107,4,"n.s.",387.434610251193,854.886487011406
"Op51","B36","wild-type",122.98160433299,34.4029061315324,3,"n.s.",88.5786982014574,157.384510464522
"Op51","B36","set-1 KO",787.100531157589,234.390901298724,4,"n.s.",552.709629858865,1021.49143245631
"Op55","OGW1","wild-type",751.142114099154,194.510469757087,3,"**",556.631644342068,945.652583856241
"Op55","OGW1","set-1 KO",2267.40664771073,295.097229232517,5,"**",1972.30941847821,2562.50387694325
