"Date","Strain","sibling","allele","genotype","UV_dose","Suv_samples","Suv_ave","Suv_se","Rev_samples","Rev_ave","Rev_se","Rev_freq_raw","Rev_freq_se"
"220722","KNT-Op47-01","Op47","B36","wild-type",0,3,756.666666666667,57.0418949350193,3,0,0,0,NA
"220722","KNT-Op47-01","Op47","B36","wild-type",60,3,663,59.6182298742032,3,0.333333333333333,0.333333333333333,0.502765208647562,0.504793783550046
"220722","KNT-Op47-01","Op47","B36","wild-type",90,3,801,31.3209195267317,3,0.666666666666667,0.666666666666667,0.832292967124428,0.832929006923609
"220722","KNT-Op47-01","Op47","B36","wild-type",120,3,754.333333333333,30.2452934814291,3,2,1,2.65134776844896,1.32992946846664
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",0,3,732,8.73689494805411,3,0.666666666666667,0.333333333333333,0.910746812386157,0.455503132444581
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",60,3,626.333333333333,31.466031067027,3,1.33333333333333,0.333333333333333,2.12879191059074,0.542837363616087
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",90,3,736.666666666667,32.9511422833531,3,13,2.64575131106459,17.6470588235294,3.67723788417747
"220722","KNT-Op47-23","Op47","B36","hH3-K4R",120,3,595,3.05505046330389,3,22.6666666666667,1.76383420737639,38.0952380952381,2.97087340561541
"220722","KNT-Op51-17","Op51","B36","wild-type",0,3,912.666666666667,12.6798177344068,3,0.333333333333333,0.333333333333333,0.365230094959825,0.365265341561352
"220722","KNT-Op51-17","Op51","B36","wild-type",60,3,878.333333333333,34.8536623294852,3,1,0.577350269189626,1.13851992409867,0.658875518955215
"220722","KNT-Op51-17","Op51","B36","wild-type",90,3,818,30.6648550189518,3,0.666666666666667,0.666666666666667,0.814995925020375,0.815568389000027
"220722","KNT-Op51-17","Op51","B36","wild-type",120,3,768,13.228756555323,3,2.66666666666667,0.666666666666667,3.47222222222222,0.870113523535522
"220722","KNT-Op51-32","Op51","B36","set-1 KO",0,3,490.666666666667,5.78311719096582,3,0,0,0,NA
"220722","KNT-Op51-32","Op51","B36","set-1 KO",60,3,458.666666666667,23.2546291687865,3,2.66666666666667,0.666666666666667,5.81395348837209,1.48307720808244
"220722","KNT-Op51-32","Op51","B36","set-1 KO",90,3,469.333333333333,10.1707642015949,3,4.66666666666667,1.76383420737639,9.94318181818182,3.76434156663988
"220722","KNT-Op51-32","Op51","B36","set-1 KO",120,3,353.666666666667,85.6141213689528,3,11.6666666666667,2.90593262902712,32.9877474081056,11.457793538454
"220729","KNT-Op46-04","Op46","OGW1","wild-type",0,3,745.666666666667,23.6737078727529,3,0.666666666666667,0.333333333333333,0.894054537326777,0.447927532967212
"220729","KNT-Op46-04","Op46","OGW1","wild-type",60,3,744,23.7135685491099,3,3,1.73205080756888,4.03225806451613,2.33157011694999
"220729","KNT-Op46-04","Op46","OGW1","wild-type",90,3,710.666666666667,44.3558839889867,3,8.33333333333333,0.881917103688197,11.7260787992495,1.44071312130487
"220729","KNT-Op46-04","Op46","OGW1","wild-type",120,3,665,18.3575597506858,3,10.6666666666667,1.20185042515466,16.0401002506266,1.86074620896782
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,757.666666666667,15.7197681634021,3,1.33333333333333,0.666666666666667,1.75978882534096,0.880651610987335
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,683.666666666667,29.6891300722073,3,29.3333333333333,2.33333333333333,42.9058995611897,3.88844995884645
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,677.333333333333,10.0388135642504,3,36.3333333333333,5.04424865014052,53.6417322834646,7.48953395379782
"220729","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,574.333333333333,36.7257100377621,3,48.6666666666667,2.40370085030933,84.7359257109692,6.84655651960532
"220729","KNT-Op55-01","Op55","OGW1","wild-type",0,3,839.666666666667,27.8408173570948,3,0.333333333333333,0.333333333333333,0.396982929734021,0.39720108849513
"220729","KNT-Op55-01","Op55","OGW1","wild-type",60,3,781.333333333333,32.9157172858871,3,8,5.03322295684717,10.2389078498293,6.45626324201464
"220729","KNT-Op55-01","Op55","OGW1","wild-type",90,3,842.333333333333,22.2436008276038,3,6.33333333333333,0.333333333333333,7.5187969924812,0.442742833662705
"220729","KNT-Op55-01","Op55","OGW1","wild-type",120,3,755.333333333333,53.8588690725843,3,38.6666666666667,5.36449231314369,51.1915269196823,7.98526933636339
"220805","KNT-Op47-01","Op47","B36","wild-type",0,3,956,18.0277563773199,3,1,0,1.04602510460251,0.0197254035045342
"220805","KNT-Op47-01","Op47","B36","wild-type",60,3,909.333333333333,50.0410942237589,3,0.666666666666667,0.333333333333333,0.733137829912023,0.368782436418101
"220805","KNT-Op47-01","Op47","B36","wild-type",90,3,736.333333333333,74.6309438355015,3,1.33333333333333,0.666666666666667,1.81077410593028,0.923801514263682
"220805","KNT-Op47-01","Op47","B36","wild-type",120,3,744,58.923679450625,3,1.33333333333333,1.33333333333333,1.7921146953405,1.79772634086493
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",0,3,863.333333333333,51.8405675551922,3,0.333333333333333,0.333333333333333,0.386100386100386,0.386795829464515
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",60,3,942,22.0075744536588,3,6.66666666666667,1.76383420737639,7.07714083510262,1.87972126454408
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",90,3,731,13.114877048604,3,10.3333333333333,1.20185042515466,14.1358869129047,1.66356359327596
"220805","KNT-Op47-23","Op47","B36","hH3-K4R",120,3,800,17.6918060129541,3,24.6666666666667,9.1712109947984,30.8333333333333,11.4842744704595
"220805","KNT-Op51-17","Op51","B36","wild-type",0,3,851.333333333333,21.8505021554298,3,0,0,0,NA
"220805","KNT-Op51-17","Op51","B36","wild-type",60,3,700,52.9370695574787,3,1,0.577350269189626,1.42857142857143,0.831831494112056
"220805","KNT-Op51-17","Op51","B36","wild-type",90,3,802,33.0807093837683,3,1.66666666666667,0.333333333333333,2.07813798836243,0.424374799128904
"220805","KNT-Op51-17","Op51","B36","wild-type",120,3,597,185.303354889579,3,1,0,1.6750418760469,0.519917720623158
"220805","KNT-Op51-32","Op51","B36","set-1 KO",0,3,648.333333333333,20.9311039152528,3,0.666666666666667,0.666666666666667,1.02827763496144,1.02881337590638
"220805","KNT-Op51-32","Op51","B36","set-1 KO",60,3,652,13.076696830622,3,11.6666666666667,1.76383420737639,17.8936605316973,2.7289678735842
"220805","KNT-Op51-32","Op51","B36","set-1 KO",90,3,584.333333333333,26.2953312290308,3,12,1.52752523165195,20.5362236166572,2.772675757909
