"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.69579548096631,0.124798733111023,13.5882427544974,4.70235087300025e-42
"genotypepan-2(OGW1) hH3-K4R",-0.404380358036666,0.175630547372059,-2.30244888538677,0.0213098708315954
