"Model","theta","Resid. df","   2 x log-lik.","Test","   df","LR stat.","Pr(Chi)"
"1",1.54529851824576,108,-561.309887046515,"",NA,NA,NA
"genotype",1.63704253837934,107,-556.104094834054,"1 vs 2",1,5.2057922124618,0.0225117539644344
